Nom,Categorie,Longueur (m),Largeur (m),Poids (kg),Puissance (chevaux),Couple (mkg),Coffre (L),Consommation mixte (L),Motorisation,Emissions CO2,Norme Euro,Cote LaCentrale,Note Caradisiac,Note proprietaires,Commentaires
Clio II,Citadine,"3,81","1,94","1 019,00","98,00","13,00","288,00","7,40",Essence,"160,00","2,00","1 200,00","16,00","14,30",Voiture Actuelle
Lexus CT 200h,Compacte,"4,32","1,76","1 370,00","136,00","14,20","375,00","3,80",Hybride,"87,00","5,00","10 700,00","14,50","17,10",Modèle Ct 200h emotion
Citroën C4 ,Compacte,"4,26","1,76","1 182,00","90,00","13,30","320,00","6,50",Essence,"153,00","4,00","3 430,00","14,40","13,80","1ere generation avec moteur 2L HDI 90 (increvable). 
Sinon pas fiable. Modèle C4 1.4 16V"
Citroën C5 tourer,Break,"4,82","2,09","1 537,00","110,00","24,00","533,00","5,00",Essence,"130,00","4,00","3 890,00","13,90","15,30",Modèle C5 Tourer II TOURER 1.6 HDI 110 FAP CONFORT AIRDREAM
Honda Civic,Compacte,"4,25","2,04","1 194,00","140,00","17,40","485,00","6,70",Essence,"155,00","5,00","8 070,00","13,80","17,00",Modèle Civic 8 viii (2) 1.8 i-vtec 140 virtuose de 2010
Peugeot 607,Berline,"4,90","1,84","1 590,00","136,00","32,00","468,00","6,10",Diesel,"160,00","4,00","6 330,00","15,00","17,20",Modèle 607 (2) 2.0 HDI 136 FAP GRIFFE
Volkswagen Touran,Monospace,"4,40","2,04","1 623,00","136,00","32,70","695,00","6,00",Essence,"160,00","4,00","5 870,00","14,00","14,70",Modèle 2.0 TDI 140
Jaguar X Type Estate,Break,"4,71","2,00","1 575,00","155,00","36,00","445,00","6,20",Diesel,"164,00","4,00","5 560,00",,"18,10",Modèle X-Type 2.0
Lexus IS Sportcross,Break,"4,40","1,72","1 435,00","155,00","19,50","400,00","9,80",Essence,"164,00","1,00","7 480,00",,"17,80",Modèle Is Sportcross de 2006
Alpha Roméo 159 jtdm,Break,"4,66","1,85","1 435,00","140,00","17,50","445,00","7,80",Essence,"183,00","4,00","6 600,00","13,30","16,00",Modèle 159 Sw sw 1.8 mpi 140 sport
Citroen C6,Berline,"4,90","2,08","1 850,00","170,00","40,00","421,00","7,60",Diesel,"200,00","4,00","8 350,00",,"16,50",Modèle C6 2.7 V6 HDi
Audi A4 B7,Break,"4,70","2,00","1 470,00","120,00","23,00","490,00","7,20",Essence,"169,00","5,00","8 180,00","16,00","14,60",Audi A4 (4e Generation) Avant IV AVANT 1.8 TFSI 120 AMBIENTE 2010
Lexus IS 2,Berline,"4,57","1,79","1 635,00","208,00","25,20","398,00","9,10",Essence,"214,00","1,00","9 500,00","16,00","17,80",Modèle Is 2 ii 250 pack executive
Honda CRV,4x4,"4,63","2,05","1 526,00","150,00","19,20","527,00","9,30",Essence,"221,00","4,00","6 810,00","13,40","14,80",Modèle Cr-v 2 ii 2.0 vtec es bva
Renault Velsatis,Berline,"4,86","2,17","1 640,00","170,00","27,00","460,00","9,40",Essence,"225,00","4,00","6 710,00","15,00","15,80",Modèle Vel Satis 2.0 t carminat
Lexus IS,Berline,"4,40","1,72","1 435,00","155,00","19,50","400,00","9,80",Essence,"233,00","1,00","7 730,00",,"17,00",Modèle Is 200 pack luxe
Renault Avantime,Monospace,"4,64","2,08","1 741,00","150,00","33,30","530,00","10,10",Essence,"251,70","1,00","4 350,00",,"17,20",Modèle Avantime 2.0 16s turbo dynamique
Toyota Prius II,Break,"4,45","1,80","1 300,00","77,00","11,50","408,00","4,30",Hybride,"104,00","5,00","8 260,00","16,00","17,40",Modèle Toyota Prius 2 ii 110h linea sol mc
Seat Exeo [sosie A4 B7],Break,"4,66","1,77","1 470,00","120,00","23,00","442,00","7,40",Essence,"172,00","5,00","6 750,00","14,00","17,20",Modèle Exeo St st 1.8 tsi 120 style 2012
Alfa Romeo Giulietta,Compacte,"4,35","1,79","1 280,00","120,00","20,60","350,00","6,40",Essence,"149,00","5,00","7 130,00","14,30","16,00",Modèle Giulietta 3 iii 1.4 tjet 120 progression
Peugeot 508 break,Break,"4,83","1,82","1 390,00","120,00","16,00","545,00","5,80",Essence,"134,00","5,00","8 490,00","15,00","15,80",Modèle Peugeot 508 1.6 vti 120 access bmp6
Skoda Octavia,Break,"4,56","2,01","1 280,00","122,00","20,00","580,00","6,30",Essence,"148,00","5,00","7 200,00","14,80","15,60",Modèle Skoda Octavia 2 Combi ii combi 1.4 tfsi 122 classic
